"Part Number","Noun","Kit Name","Manufacturer","State Status","Current Status","Remarks","Form 48 Number","Die Required","Die Number","Shop Name","Updated By","Updated At","History"
"QDF10-013","Valve","Kit C","","Part Trial Testing","Die rework as per sample 14-02-25","","","false","","INSTRUMENT SHOP","Abdullah","2025-01-14T22:27:50.828Z","1"
"KJY8A-00-4","Diaphragm","Kit C","","MCL","MCL Feb","","","false","","AFR ACCY SHOP II","Abdullah","2025-01-14T22:27:50.829Z","1"
"19X(Z)-DG-103B-02","Rubber Ring","Kit C","","Part Under TF","Die under TF 360 solution","","","false","","ELECTRICAL SHOP","Abdullah","2025-01-14T22:27:50.829Z","1"
"NZ35H-27-3-5080","Seal Ring","Kit C","","Die Under TF","Die rework as per sample 19-02-25","","","true","81-F7-69","AFR ACCY SHOP II","Abdullah","2025-01-14T22:27:50.829Z","1"
"16D105-17.5-2.5-B","Seal Ring","Kit C","","MCL","MCL Feb","","","true","81-JF-17-234","AFR ACCY SHOP II","Abdullah","2025-01-14T22:27:50.829Z","1"
"16D105-35-3.6-B","Seal Ring","Kit C","","MCL","MCL Feb","","","true","81-JF-17-218","AFR ACCY SHOP II","Abdullah","2025-01-14T22:27:50.829Z","1"
"16D105-38.5-3-B","Seal Ring","Kit C","","MCL","MCL Feb","","","true","81-JF-17-232","AFR ACCY SHOP II","Abdullah","2025-01-14T22:27:50.829Z","1"
"16D105-7.7-1.9-B","Seal Ring","Kit C","","MCL","MCL Feb","","","true","81-JF-17-218","AFR ACCY SHOP II","Abdullah","2025-01-14T22:27:50.829Z","1"
"16D105-9.3-3.6-X","Seal Ring","Kit C","","MCL","MCL Feb","","","true","81-JF-17-232","AFR ACCY SHOP II","Abdullah","2025-01-14T22:27:50.829Z","1"
"3S12.2x2-J7","Seal Ring","Kit C","","MCL","MCL Feb","","","true","81-JF-17-289","AFR ACCY SHOP II","Abdullah","2025-01-14T22:27:50.829Z","1"
"3S60X2-J7","Seal Ring","Kit C","","Die Under TF","Die rework as per sample 19-02-25","","","true","81-JF-17-220","AFR ACCY SHOP I","Abdullah","2025-01-14T22:27:50.829Z","1"
"3S7.5X1.5-J7","Seal Ring","Kit C","","Part Under TF","Part under TF 28/02/25, Die rework required internal dia 7.3 instead of 7.5 also burs are thick.","","WTFRP2802250082","true","81-JF-17-237","AFR ACCY SHOP I","Abdullah","2025-01-14T22:27:50.829Z","1"
"Q/11D-02-6-(5080-1)","Seal Ring","Kit C","","Part Under TF","Die not receive from 360 solutions 14-02-25","","","true","81-JF-17-59","AFR ACCY SHOP II","Abdullah","2025-01-14T22:27:50.829Z","1"
"QDF10-014","Valve","Kit C","R&P CoE","MCL","SAT","","","true","81-JF-17-380","INSTRUMENT SHOP","Abdullah","2025-01-14T22:27:50.829Z","1"
"4X1X1GB1018H62M","Gasket","Kit C","S M  Shop","MCL","SAT","","WTFSM1211240001","false","","ELECTRICAL SHOP","Abdullah","2025-01-14T22:27:50.830Z","1"
"5X3X1GB1018H62M","Gasket","Kit C","S M  Shop","MCL","SAT","","WTFSM1211240003","false","","ELECTRICAL SHOP","Abdullah","2025-01-14T22:27:50.830Z","1"
"8X4X1GB1018H62M","Gasket","Kit C","S M  Shop","MCL","SAT","","WTFSM1211240002","false","","ELECTRICAL SHOP","Abdullah","2025-01-14T22:27:50.830Z","1"
"QS110A-003","Head","Kit C","PMC Shop","Part Trial Testing","H/O to user 20-02-25 Comp awt in Shop","","WTFPM2008240042","false","","AFR ACCY SHOP II","Abdullah","2025-01-14T22:27:50.830Z","1"
"QS110A-004","Pipe Joint","Kit C","","MCL","MCL Feb","","","false","","AFR ACCY SHOP II","Abdullah","2025-01-14T22:27:50.830Z","1"
"YXF78-00-04","Valve","Kit C","","MCL","MCL Feb","","","false","","AFR ACCY SHOP II","Abdullah","2025-01-14T22:27:50.830Z","1"
"YXF78-00-08A","Piston Rod","Kit C","Machine Shop","Part Trial Testing","NEW drawings h/o to machine shop 21-02-25","","","false","","AFR ACCY SHOP II","Abdullah","2025-01-14T22:27:50.830Z","1"
"YLF12-00-1","Cap","Kit C","Machine Shop","Part Under TF","TF. Under 3rd rework","","WLOGTF280920230006","false","","AFR ACCY SHOP II","Abdullah","2025-01-14T22:27:50.830Z","1"
"RL41-000-05","Adjusting Gasket","Kit C","","MCL","MCL Feb","","","false","","AFR ACCY SHOP II","Abdullah","2025-01-14T22:27:50.830Z","1"
"19X-YXF63-02","Spring","Kit C","","MCL","MCL Feb","","","false","","AFR ACCY SHOP II","Abdullah","2025-01-14T22:27:50.830Z","1"
"19X-YXF63-03","Casing","Kit C","","Part Trial Testing","Fitting SAT, Part with dwg H/O to MS for remaining machining and HT,ST. ","","","false","","AFR ACCY SHOP II","Abdullah","2025-01-14T22:27:50.830Z","1"
"YXF64/1Y-0002","Valve Seat","Kit C","PMC Shop","MCL","MCL Feb","","WTFPM2008240006","false","","AFR ACCY SHOP II","Abdullah","2025-01-14T22:27:50.830Z","1"
"YYS2-102","Pipe Joint","Kit C","Machine Shop","Part Trial Testing","Rework for passivation 28-02-25 colour was black","","WTFMS0710240027","false","","AFR ACCY SHOP II","Abdullah","2025-01-14T22:27:50.831Z","1"
"1092/2-01-15","Sealing Washer","Kit C","R&P CoE","MCL","Under Trial Test 06-03-25","","WTFRP1002250089","true","81-JF-17-380","INSTRUMENT SHOP","Abdullah","2025-01-14T22:27:50.831Z","1"
"FA3-11-2J7","Rubber Seal","Kit C","","MCL","MCL ALUMINIUM 10 CYCLE DIE","","","false","","AFR ACCY SHOP I","Abdullah","2025-01-14T22:27:50.831Z","1"
"YDF33-1013","COVER","Kit C","Machine Shop","MCL","MCL Feb","","WTFMS1009240010","false","","AFR ACCY SHOP I","Abdullah","2025-01-14T22:27:50.831Z","1"
"YDF23-105","UPPER VALVE","Kit C","Machine Shop","Part Trial Testing","H/O to user 18-02-25 Comp awt in shop Comp Will available after 15 March, 25","","WTFMS1009240011","false","","AFR ACCY SHOP I","Abdullah","2025-01-14T22:27:50.831Z","1"
"RDF44-0006","INLET PIPE JOINT","Kit C 125","Machine shop","Under Indegenization","Under Drawing","Metallic-Under Feasibility 21-03-25","","false","","AFR ACCY SHOP I","Abdullah","2025-01-14T22:27:50.831Z","1"
"YDF33-2002","BUSH","Kit C 125","","MCL","MCL","Metallic-","","false","","","Abdullah","2025-01-14T22:27:50.831Z","1"
"YDT12-009","STOP RING","Kit C 125","SPRING SHOP","Part Under TF","Under Feasibility 10 Sep 2024","Metallic-Under Feasibility 10 Sep 2024","WTFSP1903250005","false","","AFR ACCY SHOP II","Abdullah","2025-01-14T22:27:50.831Z","1"
"QX-20","SCREW PLUG","Kit C 125","","MCL","MCL","Metallic-","","false","","","Abdullah","2025-01-14T22:27:50.831Z","1"
"YDF23-105","UPPER VALVE","Kit C 125","ACC SHOP 1","Part Trial Testing","Under Trial Test","Metallic-ALSO IN 62 KIT PARTS","","false","","","Abdullah","2025-01-14T22:27:50.832Z","1"
"YZL33-2005","GASKET","Kit C 125","Machine shop","Part Under TF","CAN BE MFG","Metallic-Under Feasibility 13-01-25","WTFMS2403250002","false","","AFR ACCY SHOP I","Abdullah","2025-01-14T22:27:50.832Z","1"
"YZL33-2006","GASKET","Kit C 125","Machine shop","Part Under TF","CAN BE MFG","Metallic-Under Feasibility 13-01-25","WTFMS2403250001","false","","AFR ACCY SHOP I","Abdullah","2025-01-14T22:27:50.833Z","1"
"YZL33-2011","SPRING","Kit C 125","","Under Indegenization","Under Drawing","Metallic-Under Drawing","","false","","","Abdullah","2025-01-14T22:27:50.833Z","1"
"YZL26-0006","ECCENTRIC RING","Kit C 125","","Under Indegenization","Under Drawing","Metallic-Under Drawing","","false","","","Abdullah","2025-01-14T22:27:50.833Z","1"
"HB1-710B6x52","TORQUE LINK PIN","Kit C 125","","Under Indegenization","under Drawing","Metallic-under Drawing","","false","","","Abdullah","2025-01-14T22:27:50.833Z","1"
"DD-FC1-42014-111","BUSHING","Kit C 125","PMC","Part Under TF","Under Feasibility","Metallic-Under Feasibility 08-01-25","WTFPM1303250003","false","","AFR ACCY SHOP I","Abdullah","2025-01-14T22:27:50.833Z","1"
