tail_id,part_no,noun,nha_part_no,nha_noun,kit,goh,part_type,shop,mat,agency,arf_mcl_review,f48_no,die_no,die_type,die_status,die_agency,die_vendor,die_remarks,status_1,status_2,remarks_1
1,YDT11-1003,Pin,NULL,NULL,Kit A,NULL,,,,ARF,20SP0179N,,,NULL,NULL,NULL,NULL,NULL,MCL,MCL,
2,Q/AL8.683.024,Gaskit,NULL,NULL,Kit A,NULL,,,,ARF,22RP0268N,,,NULL,NULL,NULL,NULL,NULL,MCL,MCL,
3,Q/AL8.683.005,Gasket,NULL,NULL,Kit A,NULL,,,,ARF,22RP0364N,,,NULL,NULL,NULL,NULL,NULL,MCL,MCL,
4,Q/611S423FDJ6B-1,Clamp,NULL,NULL,Kit A,NULL,,,,ARF,21SM0533L,,,NULL,NULL,NULL,NULL,NULL,MCL,MCL,
5,Q/611S422LB6B,Clamp With Pad,NULL,NULL,Kit A,NULL,,,,ARF,21SM0196N,,,NULL,NULL,NULL,NULL,NULL,MCL,MCL,
6,Q/611S422LB6,Clamp With Pad,NULL,NULL,Kit A,NULL,,,,ARF,21SM0196N,,,NULL,NULL,NULL,NULL,NULL,MCL,MCL,
7,Q/611S422LB4B,Clamp With Pad,NULL,NULL,Kit A,NULL,,,,ARF,21SM0529L,,,NULL,NULL,NULL,NULL,NULL,MCL,MCL,
8,Q/3A6-74A5X180,Earth Wire,NULL,NULL,Kit A,NULL,,,,ARF,18SM0280L,,,NULL,NULL,NULL,NULL,NULL,MCL,MCL,
9,Q/3A4-94J1-2,Sealing Ring,NULL,NULL,Kit A,NULL,,,,ARF,14RP0104L,,,NULL,NULL,NULL,NULL,NULL,MCL,MCL,
10,Q/3A4-94J1-1,Sealing Ring,NULL,NULL,Kit A,NULL,,,,ARF,14RP0103L,,,NULL,NULL,NULL,NULL,NULL,MCL,MCL,
11,Q/3A4-92-3,Retainer Ring,NULL,NULL,Kit A,NULL,,,,ARF,14PM0282L,,,NULL,NULL,NULL,NULL,NULL,MCL,MCL,
12,Q/3A4-92-1,Retainer Ring,NULL,NULL,Kit A,NULL,,,,ARF,16RP0048L,,,NULL,NULL,NULL,NULL,NULL,MCL,MCL,
13,Q/3A4-7J3-35.4,Rubber Sealing Ring,NULL,NULL,Kit A,NULL,,,,ARF,14RP0100L,,,NULL,NULL,NULL,NULL,NULL,MCL,MCL,
14,Q/3A4-7J3-33.6,Rubber Sealing Ring,NULL,NULL,Kit A,NULL,,,,ARF,99RP0282L,,,NULL,NULL,NULL,NULL,NULL,MCL,MCL,
15,Q/3A4-7J3-19.6,Rubber Sealing Ring,NULL,NULL,Kit A,NULL,,,,ARF,99RP0274L,,,NULL,NULL,NULL,NULL,NULL,MCL,MCL,
16,Q/3A4-7J3-13.6,Rubber Sealing Ring,NULL,NULL,Kit A,NULL,,,,ARF,14RP0099L,,,NULL,NULL,NULL,NULL,NULL,MCL,MCL,
17,Q/3A4-7J3-11.6,Rubber Sealing Ring,NULL,NULL,Kit A,NULL,,,,ARF,01RP0109L,,,NULL,NULL,NULL,NULL,NULL,MCL,MCL,
18,Q/3A4-7J1-74,Seal Ring,NULL,NULL,Kit A,NULL,,,,ARF,14RP0098L,,,NULL,NULL,NULL,NULL,NULL,MCL,MCL,
19,Q/3A4-7J1-51.4,Seal Ring,NULL,NULL,Kit A,NULL,,,,ARF,14RP0097L,,,NULL,NULL,NULL,NULL,NULL,MCL,MCL,
20,Q/3A4-7J1-13.6,Seal Ring,NULL,NULL,Kit A,NULL,,,,ARF,14RP0094L,,,NULL,NULL,NULL,NULL,NULL,MCL,MCL,
21,Q/3A4-27J3-90X4,Rubber Sealing Ring,NULL,NULL,Kit A,NULL,,,,ARF,14RP0089L,,,NULL,NULL,NULL,NULL,NULL,MCL,MCL,
22,Q/3A4-27J3-85X3,Seal Ring,NULL,NULL,Kit A,NULL,,,,ARF,14RP0088L,,,NULL,NULL,NULL,NULL,NULL,MCL,MCL,
23,Q/3A4-27J3-6X2,Rubber Sealing Ring,NULL,NULL,Kit A,NULL,,,,ARF,14RP0087L,,,NULL,NULL,NULL,NULL,NULL,MCL,MCL,
24,Q/3A4-27J3-55X4,Rubber Sealing Ring,NULL,NULL,Kit A,NULL,,,,ARF,14RP0086L,,,NULL,NULL,NULL,NULL,NULL,MCL,MCL,
25,Q/3A4-27J3-55X3,Rubber Sealing Ring,NULL,NULL,Kit A,NULL,,,,ARF,14RP0085L,,,NULL,NULL,NULL,NULL,NULL,MCL,MCL,
26,Q/3A4-27J3-42X3,Rubber Sealing Ring,NULL,NULL,Kit A,NULL,,,,ARF,14RP0084L,,,NULL,NULL,NULL,NULL,NULL,MCL,MCL,
27,Q/3A4-27J3-32X3,Rubber Sealing Ring,NULL,NULL,Kit A,NULL,,,,ARF,0,,,NULL,NULL,NULL,NULL,NULL,MCL,MCL (Cap Del),
28,Q/3A4-27J3-30X3,Rubber Sealing Ring,NULL,NULL,Kit A,NULL,,,,ARF,14RP0083L,,,NULL,NULL,NULL,NULL,NULL,MCL,MCL,
29,Q/3A4-27J3-28X3,Rubber Sealing Ring,NULL,NULL,Kit A,NULL,,,,ARF,14RP0082L,,,NULL,NULL,NULL,NULL,NULL,MCL,MCL,
30,Q/3A4-27J3-25X3,Rubber Sealing Ring,NULL,NULL,Kit A,NULL,,,,ARF,21RP0177N,,,NULL,NULL,NULL,NULL,NULL,MCL,MCL,
31,Q/3A4-27J3-100X4,Rubber Sealing Ring,NULL,NULL,Kit A,NULL,,,,ARF,14RP0081L,,,NULL,NULL,NULL,NULL,NULL,MCL,MCL,
32,Q/3A4-25J3-38X45X2,Seal Ring,NULL,NULL,Kit A,NULL,,,,ARF,21RP0310L,,,NULL,NULL,NULL,NULL,NULL,MCL,MCL,
33,M4X6GB71,Screw,NULL,NULL,Kit A,NULL,,,,ARF,05MS0006L,,,NULL,NULL,NULL,NULL,NULL,MCL,MCL,
34,J7-7219-160,Rubber Sleeve,NULL,NULL,Kit A,NULL,,,,ARF,00RP0108L,,,NULL,NULL,NULL,NULL,NULL,MCL,MCL,
35,J7-6114-403,Seal Ring,NULL,NULL,Kit A,NULL,,,,ARF,00RP0632N,,,NULL,NULL,NULL,NULL,NULL,MCL,MCL,
36,J7-5101-744,Seal Ring,NULL,NULL,Kit A,NULL,,,,ARF,09SM0427N,,,NULL,NULL,NULL,NULL,NULL,MCL,MCL,
37,J7-2053-435,Rubber Pad,NULL,NULL,Kit A,NULL,,,,ARF,21RP0376N,,,NULL,NULL,NULL,NULL,NULL,MCL,MCL,
38,J7-2053-351,Seal Ring,NULL,NULL,Kit A,NULL,,,,ARF,21RP0583N,,,NULL,NULL,NULL,NULL,NULL,MCL,MCL,
39,J7-2053-23,Seal Ring,NULL,NULL,Kit A,NULL,,,,ARF,19RP0143L,,,NULL,NULL,NULL,NULL,NULL,MCL,MCL,
40,J10-41035-112,Spring,NULL,NULL,Kit A,NULL,,,,ARF,21SP0597N,,,NULL,NULL,NULL,NULL,NULL,MCL,MCL,
41,HB6-75TD2X90X130,Bonding Jumper,NULL,NULL,Kit A,NULL,,,,ARF,18SM0455L,,,NULL,NULL,NULL,NULL,NULL,MCL,MCL,
42,HB6-75TD-2X80X100,Bonding Jumper,NULL,NULL,Kit A,NULL,,,,ARF,17SM0709L,,,NULL,NULL,NULL,NULL,NULL,MCL,MCL,
43,HB6-75TD2X70X110,Bonding Jumper,NULL,NULL,Kit A,NULL,,,,ARF,19SM0046L,,,NULL,NULL,NULL,NULL,NULL,MCL,MCL,
44,HB6-75TD2X70X100,Bonding Jumper,NULL,NULL,Kit A,NULL,,,,ARF,RCL,,,NULL,NULL,NULL,NULL,NULL,MCL,MCL,
45,HB6-75TD2X200X200,Earth Wire,NULL,NULL,Kit A,NULL,,,,ARF,18SM0465L,,,NULL,NULL,NULL,NULL,NULL,MCL,MCL,
46,HB6-75TD2X200X100,Earth Wire,NULL,NULL,Kit A,NULL,,,,ARF,18SM0458L,,,NULL,NULL,NULL,NULL,NULL,MCL,MCL,
47,HB6-75TD2X150X150,Earth Wire,NULL,NULL,Kit A,NULL,,,,ARF,18SM0464L,,,NULL,NULL,NULL,NULL,NULL,MCL,MCL,
48,HB6-75TD-2X120X180,Earth Wire,NULL,NULL,Kit A,NULL,,,,ARF,01SM0528L,,,NULL,NULL,NULL,NULL,NULL,MCL,MCL,
49,HB6-75TD-2X120X100,Earth Wire,NULL,NULL,Kit A,NULL,,,,ARF,00SM1581L,,,NULL,NULL,NULL,NULL,NULL,MCL,MCL,
50,HB6-75TD-2X100X140,Earth Wire,NULL,NULL,Kit A,NULL,,,,ARF,00SM1548L,,,NULL,NULL,NULL,NULL,NULL,MCL,MCL,
51,HB6-75TD-2X100X100,Bonding Jumper,NULL,NULL,Kit A,NULL,,,,ARF,00SM1547L,,,NULL,NULL,NULL,NULL,NULL,MCL,MCL,
52,HB6-75LI-2x60x120,Bonding Jumper,NULL,NULL,Kit A,NULL,,,,ARF,14SM0333L,,,NULL,NULL,NULL,NULL,NULL,MCL,MCL,
53,HB6-74TD-3X250,Earth Wire,NULL,NULL,Kit A,NULL,,,,ARF,18SM0461L,,,NULL,NULL,NULL,NULL,NULL,MCL,MCL,
54,HB6-74TD-3X120,Earth Wire,NULL,NULL,Kit A,NULL,,,,ARF,12SM0108L,,,NULL,NULL,NULL,NULL,NULL,MCL,MCL,
55,HB6-74TD-3X100,Earth Wire,NULL,NULL,Kit A,NULL,,,,ARF,00SM1580L,,,NULL,NULL,NULL,NULL,NULL,MCL,MCL,
56,HB6-74TD-2X80,Bonding Jumper,NULL,NULL,Kit A,NULL,,,,ARF,00SM1544L,,,NULL,NULL,NULL,NULL,NULL,MCL,MCL,
57,HB6-74TD-2X200,Earth Wire,NULL,NULL,Kit A,NULL,,,,ARF,01SM0538L,,,NULL,NULL,NULL,NULL,NULL,MCL,MCL,
58,HB6-74TD-2X160,Earth Wire,NULL,NULL,Kit A,NULL,,,,ARF,18SM0457L,,,NULL,NULL,NULL,NULL,NULL,MCL,MCL,
59,HB6-74TD-2x150,Bonding Jumper,NULL,NULL,Kit A,NULL,,,,ARF,10SM0077L,,,NULL,NULL,NULL,NULL,NULL,MCL,MCL,
60,HB6-74TD2X130,Earth Wire,NULL,NULL,Kit A,NULL,,,,ARF,18SM0456L,,,NULL,NULL,NULL,NULL,NULL,MCL,MCL,
61,HB6-74TD-2X120,Earth Wire,NULL,NULL,Kit A,NULL,,,,ARF,10SM0098L,,,NULL,NULL,NULL,NULL,NULL,MCL,MCL,
62,HB6-74TD-2X100,Earth Wire,NULL,NULL,Kit A,NULL,,,,ARF,10SM0076L,,,NULL,NULL,NULL,NULL,NULL,MCL,MCL,
63,HB6-74TD1X120,Earth Wire,NULL,NULL,Kit A,NULL,,,,ARF,18SM0459L,,,NULL,NULL,NULL,NULL,NULL,MCL,MCL,
64,HB6-74LI-8X60,Ground Wire,NULL,NULL,Kit A,NULL,,,,ARF,19SM0185L,,,NULL,NULL,NULL,NULL,NULL,MCL,MCL,
65,HB6-74LI-8X160,Earth Wire,NULL,NULL,Kit A,NULL,,,,ARF,18SM0278L,,,NULL,NULL,NULL,NULL,NULL,MCL,MCL,
66,HB6-74LI-8X150,Earth Wire,NULL,NULL,Kit A,NULL,,,,ARF,18SM0277L,,,NULL,NULL,NULL,NULL,NULL,MCL,MCL,
67,HB6-74LI-7X8X120,Earth Wire,NULL,NULL,Kit A,NULL,,,,ARF,18SM0518L,,,NULL,NULL,NULL,NULL,NULL,MCL,MCL,
68,HB6-74LI-2X60,Bonding Jumper,NULL,NULL,Kit A,NULL,,,,ARF,10SM0093L,,,NULL,NULL,NULL,NULL,NULL,MCL,MCL,
69,HB6-74LI-2X100,Ground Wire,NULL,NULL,Kit A,NULL,,,,ARF,01SM0540L,,,NULL,NULL,NULL,NULL,NULL,MCL,MCL,
70,HB6-38-8X160,Earth Wire,NULL,NULL,Kit A,NULL,,,,ARF,14SM0002L,,,NULL,NULL,NULL,NULL,NULL,MCL,MCL,
71,HB6-38-23X220,Earth Wire,NULL,NULL,Kit A,NULL,,,,ARF,21SM0328L,,,NULL,NULL,NULL,NULL,NULL,MCL,MCL,
72,HB6-38-22X260,Earth Wire,NULL,NULL,Kit A,NULL,,,,ARF,21SM0327L,,,NULL,NULL,NULL,NULL,NULL,MCL,MCL,
73,HB6-38-21X100,Bonding Jumper,NULL,NULL,Kit A,NULL,,,,ARF,14SM0334L,,,NULL,NULL,NULL,NULL,NULL,MCL,MCL,
74,HB6-38-10X100,Earth Wire,NULL,NULL,Kit A,NULL,,,,ARF,14SM0334L,,,NULL,NULL,NULL,NULL,NULL,MCL,MCL,
75,HB6311.3X8,Rivet,NULL,NULL,Kit A,NULL,,,,ARF,21MS0286L,,,NULL,NULL,NULL,NULL,NULL,MCL,MCL,
76,HB6258M3,Nut,NULL,NULL,Kit A,NULL,,,,ARF,21MS0618L,,,NULL,NULL,NULL,NULL,NULL,MCL,MCL,
77,HB6231.5X12,Rivet,NULL,NULL,Kit A,NULL,,,,ARF,21MS0284L,,,NULL,NULL,NULL,NULL,NULL,MCL,MCL,
78,HB6231.4X9,Rivet,NULL,NULL,Kit A,NULL,,,,ARF,21MS0283L,,,NULL,NULL,NULL,NULL,NULL,MCL,MCL,
79,HB4-57J3-63,Seal Ring,NULL,NULL,Kit A,NULL,,,,ARF,21RP0085N,,,NULL,NULL,NULL,NULL,NULL,MCL,MCL,
80,HB4-57J3-51H,Seal Ring,NULL,NULL,Kit A,NULL,,,,ARF,14RP0079L,,,NULL,NULL,NULL,NULL,NULL,MCL,MCL,
81,HB4-57J3-31,Seal Ring,NULL,NULL,Kit A,NULL,,,,ARF,14RP0077L,,,NULL,NULL,NULL,NULL,NULL,MCL,MCL,
82,HB4-57J3-29,Seal Ring ,NULL,NULL,Kit A,NULL,,,,ARF,14RP0076L,,,NULL,NULL,NULL,NULL,NULL,MCL,MCL,
83,HB4-57J3-25H,Sealing Ring,NULL,NULL,Kit A,NULL,,,,ARF,21RP0237L,,,NULL,NULL,NULL,NULL,NULL,MCL,MCL,
84,HB4-57J3-25,Seal Ring,NULL,NULL,Kit A,NULL,,,,ARF,14RP0074L,,,NULL,NULL,NULL,NULL,NULL,MCL,MCL,
85,HB4-56J7-40,Seal Ring,NULL,NULL,Kit A,NULL,,,,ARF,21RP0082N,,,NULL,NULL,NULL,NULL,NULL,MCL,MCL,
86,HB4-53-76,Lead Seal,NULL,NULL,Kit A,NULL,,,,ARF,85SM0083L,,,NULL,NULL,NULL,NULL,NULL,MCL,MCL,
87,HB4-53,Lead Seal,NULL,NULL,Kit A,NULL,,,,ARF,85SM0083L,,,NULL,NULL,NULL,NULL,NULL,MCL,MCL,
88,HB4-50-16,Gasket,NULL,NULL,Kit A,NULL,,,,ARF,16SM0201L,,,NULL,NULL,NULL,NULL,NULL,MCL,MCL,
89,HB3-55-A2.5X17X120.5-I,Spring,NULL,NULL,Kit A,NULL,,,,ARF,22SP0091L,,,NULL,NULL,NULL,NULL,NULL,MCL,MCL,
90,HB3-55-A2.5X15X90.6III,Spring,NULL,NULL,Kit A,NULL,,SP,,ARF,22SP0315L,,,NULL,NULL,NULL,NULL,NULL,MCL,MCL,
91,HB3-55-A1.5X9X43.9-II230,Spring,NULL,NULL,Kit A,NULL,,SP,,ARF,22SP0337L,,,NULL,NULL,NULL,NULL,NULL,MCL,MCL,
92,HB3-12G6X8X12,Bush,NULL,NULL,Kit A,NULL,,,,ARF,00MS1671L,,,NULL,NULL,NULL,NULL,NULL,MCL,MCL,
93,HB1-706-6X43,Quick Release Spring Pin,NULL,NULL,Kit A,NULL,,,,ARF,18MS0360L,,,NULL,NULL,NULL,NULL,NULL,MCL,MCL,
94,HB1-521LB-5X12X0.5,Washer,NULL,NULL,Kit A,NULL,,,,ARF,00SM0061L,,,NULL,NULL,NULL,NULL,NULL,MCL,MCL,
95,HB1-521LB16X25X0.5,Washer,NULL,NULL,Kit A,NULL,,,,ARF,14SM0114L,,,NULL,NULL,NULL,NULL,NULL,MCL,MCL,
96,HB1-521GD5X8X0.3,Washer (Asa Hormanization),NULL,NULL,Kit A,NULL,,,,ARF,20SM0063L,,,NULL,NULL,NULL,NULL,NULL,MCL,MCL,
97,HB1-521GD5X8X0.2,Washer (Asa Hormanization),NULL,NULL,Kit A,NULL,,,,ARF,20SM0062L,,,NULL,NULL,NULL,NULL,NULL,MCL,MCL,
98,HB1-521GD5X8X0.1,Washer (Asa Hormanization),NULL,NULL,Kit A,NULL,,,,ARF,20SM0062L,,,NULL,NULL,NULL,NULL,NULL,MCL,MCL,
99,HB1-521-10X20X0.3,Washer (?=0~2.5),NULL,NULL,Kit A,NULL,,,,ARF,#N/A,,,NULL,NULL,NULL,NULL,NULL,MCL,MCL,
100,HB1-125-6X28X2.5,Taper Pin,NULL,NULL,Kit A,NULL,,,,ARF,01MS0350L,,,NULL,NULL,NULL,NULL,NULL,MCL,MCL,
101,GJB121.6.1.8X28,Bolt,NULL,NULL,Kit A,NULL,,,,ARF,21MS0577L,,,NULL,NULL,NULL,NULL,NULL,MCL,MCL,
102,GJB121.5.1.5X22,Bolt,NULL,NULL,Kit A,NULL,,,,ARF,21MS0576L,,,NULL,NULL,NULL,NULL,NULL,MCL,MCL,
103,GJB121.12.2.4X22,Bolt,NULL,NULL,Kit A,NULL,,MS,,ARF,21MS0476L,,,NULL,NULL,NULL,NULL,NULL,MCL,MCL,
104,GJB121.1.3.6X28X3,Bolt,NULL,NULL,Kit A,NULL,,,,ARF,17MS0105L,,,NULL,NULL,NULL,NULL,NULL,MCL,MCL,
105,GB91-86-2X30,Cotter Pin,NULL,NULL,Kit A,NULL,,,,ARF,15MS0199L,,,NULL,NULL,NULL,NULL,NULL,MCL,MCL,
106,GB91-4X60,Splitpin ,NULL,NULL,Kit A,NULL,,,,ARF,14MS0172L,,,NULL,NULL,NULL,NULL,NULL,MCL,MCL,
107,GB91-3X61,Splitpin ,NULL,NULL,Kit A,NULL,,,,ARF,14MS0170L,,,NULL,NULL,NULL,NULL,NULL,MCL,MCL,
108,GB91-3X60(1Cr18Ni9Ti),Splitpin ,NULL,NULL,Kit A,NULL,,,,ARF,14MS0169L,,,NULL,NULL,NULL,NULL,NULL,MCL,MCL,
109,GB91-3X60,Splitpin ,NULL,NULL,Kit A,NULL,,,,ARF,21MS0438N,,,NULL,NULL,NULL,NULL,NULL,MCL,MCL,
110,GB91-3X50(1Cr18Ni9Ti),Splitpin ,NULL,NULL,Kit A,NULL,,,,ARF,19MS0083L,,,NULL,NULL,NULL,NULL,NULL,MCL,MCL,
111,GB91-3X45,Splitpin ,NULL,NULL,Kit A,NULL,,,,ARF,21MS0436N,,,NULL,NULL,NULL,NULL,NULL,MCL,MCL,
112,GB91-3X40(1Cr18Ni9Ti),Splitpin ,NULL,NULL,Kit A,NULL,,,,ARF,15MS0191L,,,NULL,NULL,NULL,NULL,NULL,MCL,MCL,
113,GB91-3.2X45,Split Pin,NULL,NULL,Kit A,NULL,,,,ARF,19MS0456L,,,NULL,NULL,NULL,NULL,NULL,MCL,MCL,
114,GB91-3.2X36,Split Pin,NULL,NULL,Kit A,NULL,,,,ARF,18MS0567L,,,NULL,NULL,NULL,NULL,NULL,MCL,MCL,
115,GB91-2X30,Split Pin,NULL,NULL,Kit A,NULL,,,,ARF,15MS0199L,,,NULL,NULL,NULL,NULL,NULL,MCL,MCL,
116,GB91-2X25,Split Pin,NULL,NULL,Kit A,NULL,,,,ARF,15MS0200L,,,NULL,NULL,NULL,NULL,NULL,MCL,MCL,
117,GB91-2X22,Split Pin,NULL,NULL,Kit A,NULL,,,,ARF,17MS0697L,,,NULL,NULL,NULL,NULL,NULL,MCL,MCL,
118,GB91-2X20-ZND,Cotter Pin,NULL,NULL,Kit A,NULL,,,,ARF,16MS0053L,,,NULL,NULL,NULL,NULL,NULL,MCL,MCL,
119,GB91-2X16-1CR18NI9TI,Cotter Pin,NULL,NULL,Kit A,NULL,,,,ARF,16MS0052L,,,NULL,NULL,NULL,NULL,NULL,MCL,MCL,
120,GB91-2X16,Cotter Pin,NULL,NULL,Kit A,NULL,,,,ARF,16MS0052L,,,NULL,NULL,NULL,NULL,NULL,MCL,MCL,
121,GB91-2X12,Split Pin,NULL,NULL,Kit A,NULL,,,,ARF,18MS0070L,,,NULL,NULL,NULL,NULL,NULL,MCL,MCL,
122,GB91-2.5X50,Split Pin,NULL,NULL,Kit A,NULL,,,,ARF,18MS0302L,,,NULL,NULL,NULL,NULL,NULL,MCL,MCL,
123,GB91-2.5X32,Split Pin,NULL,NULL,Kit A,NULL,,,,ARF,18MS0558L,,,NULL,NULL,NULL,NULL,NULL,MCL,MCL,
124,GB91-2.5X30(1Cr18Ni9Ti),Split Pin,NULL,NULL,Kit A,NULL,,,,ARF,15MS0192L,,,NULL,NULL,NULL,NULL,NULL,MCL,MCL,
125,GB91-2.5X25(1Cr18Ni9Ti),Split Pin,NULL,NULL,Kit A,NULL,,,,ARF,19MS0477L,,,NULL,NULL,NULL,NULL,NULL,MCL,MCL,
126,GB91.2.5X24,Split Pin,NULL,NULL,Kit A,NULL,,,,ARF,14MS0154L,,,NULL,NULL,NULL,NULL,NULL,MCL,MCL,
127,GB91.2.5X20,Split Pin,NULL,NULL,Kit A,NULL,,,,ARF,14MS0153L,,,NULL,NULL,NULL,NULL,NULL,MCL,MCL,
128,GB91-1X6,Split Pin,NULL,NULL,Kit A,NULL,,,,ARF,19MS0478L,,,NULL,NULL,NULL,NULL,NULL,MCL,MCL,
129,GB91-1X12,Split Pin,NULL,NULL,Kit A,NULL,,,,ARF,14MS0150L,,,NULL,NULL,NULL,NULL,NULL,MCL,MCL,
130,GB91-1.6X8,Cotter Pin,NULL,NULL,Kit A,NULL,,,,ARF,18MS0569L,,,NULL,NULL,NULL,NULL,NULL,MCL,MCL,
131,GB91-1.6X8-1CR18NI9TI,Split Pin,NULL,NULL,Kit A,NULL,,,,ARF,18MS0569L,,,NULL,NULL,NULL,NULL,NULL,MCL,MCL,
132,GB91-1.6X24,Cotter Pin,NULL,NULL,Kit A,NULL,,,,ARF,14MS0147L,,,NULL,NULL,NULL,NULL,NULL,MCL,MCL,
133,GB91-1.6X20-1CR18NI9TI,Cotter Pin,NULL,NULL,Kit A,NULL,,,,ARF,18MS0559L,,,NULL,NULL,NULL,NULL,NULL,MCL,MCL,
134,GB91-1.6X20,Split Pin,NULL,NULL,Kit A,NULL,,,,ARF,18MS0075L,,,NULL,NULL,NULL,NULL,NULL,MCL,MCL,
135,GB91-1.6X18,Cotter Pin,NULL,NULL,Kit A,NULL,,,,ARF,17MS0618L,,,NULL,NULL,NULL,NULL,NULL,MCL,MCL,
136,GB91-1.6X16,Split Pin,NULL,NULL,Kit A,NULL,,,,ARF,14MS0145L,,,NULL,NULL,NULL,NULL,NULL,MCL,MCL,
137,GB91.1.6X15,Split Pin,NULL,NULL,Kit A,NULL,,,,ARF,14MS0144L,,,NULL,NULL,NULL,NULL,NULL,MCL,MCL,
138,GB91-1.6X10,Cotter Pin,NULL,NULL,Kit A,NULL,,,,ARF,19MS0026L,,,NULL,NULL,NULL,NULL,NULL,MCL,MCL,
139,GB91-1.5X24,Split Pin,NULL,NULL,Kit A,NULL,,,,ARF,18MS0366L,,,NULL,NULL,NULL,NULL,NULL,MCL,MCL,
140,GB91-1.5X22,Split Pin,NULL,NULL,Kit A,NULL,,,,ARF,18MS0568L,,,NULL,NULL,NULL,NULL,NULL,MCL,MCL,
141,GB91-1.5X20,Split Pin,NULL,NULL,Kit A,NULL,,,,ARF,15MS0201L,,,NULL,NULL,NULL,NULL,NULL,MCL,MCL,
142,GB91-1.5X16,Split Pin,NULL,NULL,Kit A,NULL,,,,ARF,19MS0454L,,,NULL,NULL,NULL,NULL,NULL,MCL,MCL,
143,GB91-1.2X18,Split Pin,NULL,NULL,Kit A,NULL,,,,ARF,18MS0557L,,,NULL,NULL,NULL,NULL,NULL,MCL,MCL,
144,GB91.3X40.1Cr18Ni9Ti,Split Pin,NULL,NULL,Kit A,NULL,,,,ARF,14MS0165L,,,NULL,NULL,NULL,NULL,NULL,MCL,MCL,
145,GB91-3X35,Cotter Pin,NULL,NULL,Kit A,NULL,,,,ARF,14MS0164L,,,NULL,NULL,NULL,NULL,NULL,MCL,MCL,
146,GB91.2X20,Split Pin,NULL,NULL,Kit A,NULL,,,,ARF,14MS0161L,,,NULL,NULL,NULL,NULL,NULL,MCL,MCL,
147,GB91.2.5X30.1Cr18Ni9Ti,Split Pin,NULL,NULL,Kit A,NULL,,,,ARF,14MS0157L,,,NULL,NULL,NULL,NULL,NULL,MCL,MCL,
148,GB91.2.5X25.1Cr18Ni9Ti,Split Pin,NULL,NULL,Kit A,NULL,,,,ARF,14MS0156L,,,NULL,NULL,NULL,NULL,NULL,MCL,MCL,
149,GB91.1X15,Split Pin,NULL,NULL,Kit A,NULL,,,,ARF,14MS0151L,,,NULL,NULL,NULL,NULL,NULL,MCL,MCL,
150,GB91.1.6X8-1Cr18Ni9Ti,Split Pin,NULL,NULL,Kit A,NULL,,,,ARF,14MS0149L,,,NULL,NULL,NULL,NULL,NULL,MCL,MCL,
151,GB91-1.6X15,Split Pin,NULL,NULL,Kit A,NULL,,,,ARF,15MS0235N,,,NULL,NULL,NULL,NULL,NULL,MCL,MCL,
152,GB91.1.5X8,Split Pin,NULL,NULL,Kit A,NULL,,,,ARF,14MS0143L,,,NULL,NULL,NULL,NULL,NULL,MCL,MCL,
153,GB91.1.2x22,Split Pin,NULL,NULL,Kit A,NULL,,,,ARF,18MS0568L,,,NULL,NULL,NULL,NULL,NULL,MCL,MCL,
154,GB91.1.2X20,Cotter Pin,NULL,NULL,Kit A,NULL,,,,ARF,14MS0141L,,,NULL,NULL,NULL,NULL,NULL,MCL,MCL,
155,GB862.1-5-65MN-SN,Washer ,NULL,NULL,Kit A,NULL,,,,ARF,99SM2614N,,,NULL,NULL,NULL,NULL,NULL,MCL,MCL,
156,GB862.1-5-65MN,Washer,NULL,NULL,Kit A,NULL,,,,ARF,99SM2614N,,,NULL,NULL,NULL,NULL,NULL,MCL,MCL,
157,GB862.1-4-65MN,Washer ,NULL,NULL,Kit A,NULL,,,,ARF,00SM1497L,,,NULL,NULL,NULL,NULL,NULL,MCL,MCL,
158,GB819.1M3X8,Ufcp Screw,NULL,NULL,Kit A,NULL,,,,ARF,21MS0274L,,,NULL,NULL,NULL,NULL,NULL,MCL,MCL,
159,HB4-57J3-53,Washer,NULL,NULL,Kit A,NULL,,RP,,ARF,21RP0116N,,,NULL,NULL,NULL,NULL,NULL,MCL,MCL,
160,GB119-D3X20-C,Stop Pin,NULL,NULL,Kit A,NULL,,,,ARF,21MS0145L,,,NULL,NULL,NULL,NULL,NULL,MCL,MCL,
161,GB119-D2X10-45,Pin,NULL,NULL,Kit A,NULL,,,,ARF,16MS0019L,,,NULL,NULL,NULL,NULL,NULL,MCL,MCL,
162,GB119.D2.5X20.45,Pin,NULL,NULL,Kit A,NULL,,,,ARF,21MS0566N,,,NULL,NULL,NULL,NULL,NULL,MCL,MCL,
163,DD-FC1-96011-1220,Pipe,NULL,NULL,Kit A,NULL,,,,ARF,18IN0502L,,,NULL,NULL,NULL,NULL,NULL,MCL,MCL,
164,DD-FC1-96011-1190,Pipe,NULL,NULL,Kit A,NULL,,,,ARF,18IN0504L,,,NULL,NULL,NULL,NULL,NULL,MCL,MCL,
165,DD-FC1-96011-1170,Pipe,NULL,NULL,Kit A,NULL,,,,ARF,18IN0486L,,,NULL,NULL,NULL,NULL,NULL,MCL,MCL,
166,DD-FC1-96011-1160,Pipe,NULL,NULL,Kit A,NULL,,,,ARF,18IN0493L,,,NULL,NULL,NULL,NULL,NULL,MCL,MCL,
